
1,7,1
1,10,1
1,12,1
1,13,1
1,15,1
1,21,1
1,27,1
1,31,1
1,34,1
1,38,1
1,77,1
1,109,1
1,112,1
1,155,1
1,171,1
1,197,1
1,234,1
1,235,1
1,304,1
1,308,1
1,349,1
1,363,1
1,382,1
1,392,1
1,400,1
1,401,1
1,410,1
1,444,1
1,533,1
1,538,1
1,670,1
1,731,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,9,1
1,11,1
1,93,1
1,101,1
1,127,1
1,207,1
1,217,1
1,236,1
1,250,1
1,259,1
1,368,1
1,468,1
1,711,1
1,739,1
7,3,1
7,4,1
7,5,1
7,16,1
7,46,1
7,177,1
7,186,1
7,207,1
7,426,1
7,575,1
7,599,1
7,731,1
7,10,1
7,12,1
7,15,1
7,800,1
7,30,1
7,34,1
7,36,1
7,38,1
7,43,1
7,48,1
7,52,1
7,66,1
7,71,1
7,78,1
7,79,1
7,83,1
7,99,1
7,102,1
7,106,1
7,114,1
7,118,1
7,129,1
7,157,1
7,184,1
7,192,1
7,194,1
7,211,1
7,224,1
7,233,1
7,315,1
7,318,1
7,322,1
7,326,1
7,357,1
7,394,1
7,423,1
7,438,1
7,440,1
7,463,1
7,482,1
7,528,1
7,542,1
7,572,1
7,573,1
7,574,1
7,581,1
7,606,1
7,620,1
7,679,1
7,693,1
7,752,1
7,756,1
10,3,1
10,5,1
10,6,1
10,9,1
10,15,1
10,63,1
10,189,1
10,392,1
10,394,1
10,406,1
10,455,1
10,618,1
10,12,1
10,13,1
10,21,1
10,27,1
10,99,1
10,123,1
10,144,1
10,153,1
10,157,1
10,208,1
10,233,1
10,300,1
10,317,1
10,344,1
10,413,1
10,798,1
10,606,1
10,787,1
12,5,1
12,16,1
12,34,1
12,109,1
12,197,1
12,207,1
12,209,1
12,294,1
12,320,1
12,363,1
12,463,1
12,486,1
12,599,1
12,609,1
12,718,1
12,21,1
12,31,1
12,38,1
12,42,1
12,43,1
12,46,1
12,129,1
12,139,1
12,144,1
12,151,1
12,205,1
12,798,1
12,560,1
12,622,1
13,3,1
13,5,1
13,6,1
13,671,1
13,16,1
13,241,1
13,306,1
13,344,1
13,457,1
13,531,1
13,571,1
13,599,1
13,627,1
13,727,1
15,3,1
15,9,1
15,394,1
15,412,1
15,455,1
15,71,1
15,104,1
15,183,1
15,248,1
15,282,1
15,283,1
15,308,1
15,315,1
15,363,1
15,581,1
21,4,1
21,5,1
21,9,1
21,36,1
21,230,1
21,231,1
21,349,1
21,378,1
21,538,1
21,581,1
21,622,1
21,50,1
21,294,1
21,311,1
21,432,1
21,798,1
27,3,1
27,4,1
27,79,1
27,171,1
27,182,1
27,192,1
27,283,1
27,322,1
27,606,1
27,123,1
27,300,1
31,112,1
31,42,1
31,64,1
31,205,1
31,219,1
31,275,1
31,305,1
31,382,1
31,478,1
34,30,1
34,363,1
34,136,1
34,507,1
34,598,1
34,718,1
38,5,1
38,54,1
38,102,1
38,126,1
38,304,1
38,482,1
38,500,1
38,768,1
38,622,1
77,6,1
77,9,1
77,29,1
77,208,1
77,461,1
77,443,1
77,555,1
109,4,1
109,5,1
109,29,1
109,197,1
109,486,1
109,525,1
109,119,1
109,134,1
109,235,1
109,426,1
109,654,1
109,684,1
112,48,1
112,674,1
155,4,1
155,5,1
155,400,1
155,478,1
155,166,1
155,788,1
171,68,1
171,234,1
171,382,1
171,533,1
171,613,1
171,623,1
197,209,1
197,269,1
197,459,1
197,525,1
197,718,1
234,3,1
234,101,1
234,217,1
234,382,1
234,401,1
234,271,1
235,4,1
235,134,1
235,340,1
304,3,1
304,69,1
304,247,1
304,545,1
308,3,1
308,4,1
308,791,1
308,363,1
349,4,1
349,60,1
349,270,1
349,738,1
363,463,1
382,401,1
382,533,1
392,16,1
392,231,1
392,406,1
392,618,1
392,627,1
392,691,1
400,3,1
400,54,1
400,478,1
400,743,1
401,4,1
401,93,1
401,259,1
410,42,1
410,182,1
410,468,1
410,628,1
410,670,1
444,2,1
444,269,1
444,295,1
444,638,1
444,671,1
533,16,1
533,255,1
533,263,1
538,269,1
538,581,1
538,764,1
670,3,1
670,101,1
731,82,1
731,415,1
2,638,1
2,710,1
2,3,1
2,4,1
2,9,1
2,11,1
2,32,1
2,187,1
2,247,1
2,711,1
2,763,1
3,11,1
3,29,1
3,64,1
3,68,1
3,91,1
3,139,1
3,147,1
3,186,1
3,393,1
3,521,1
3,4,1
