source,target
0,2
0,6
0,7
0,11
0,13
0,19
0,27
0,30
0,35
0,36
0,38
0,42
0,48
0,53
0,61
0,62
0,66
0,68
0,70
0,80
0,85
0,88
0,90
0,93
0,96
0,108
0,109
0,120
0,121
0,134
0,139
0,140
0,148
0,151
0,161
0,163
0,167
0,169
0,178
0,180
0,185
0,188
0,190
0,193
0,194
0,198
0,199
1,2
1,3
1,7
1,9
1,16
1,23
1,28
1,33
1,36
1,38
1,41
1,45
1,48
1,59
1,62
1,63
1,64
1,67
1,68
1,71
1,77
1,79
1,84
1,92
1,95
1,99
1,108
1,112
1,119
1,134
1,138
1,140
1,142
1,144
1,145
1,146
1,151
1,154
1,159
1,161
1,162
1,166
1,173
1,174
1,176
1,177
1,178
1,180
1,181
1,186
1,194
2,5
2,7
2,8
2,9
2,12
2,17
2,18
2,29
2,30
2,45
2,53
2,61
2,62
2,63
2,71
2,72
2,73
2,78
2,79
2,84
2,91
2,94
2,97
2,101
2,102
2,103
2,108
2,113
2,114
2,115
2,119
2,120
2,144
2,154
2,156
2,158
2,160
2,163
2,173
2,179
2,188
2,190
2,191
2,195
2,196
3,4
3,7
3,12
3,28
3,35
3,36
3,37
3,46
3,49
3,53
3,57
3,59
3,63
3,66
3,69
3,70
3,72
3,75
3,82
3,86
3,87
3,90
3,91
3,102
3,103
3,104
3,105
3,106
3,112
3,115
3,117
3,121
3,131
3,141
3,150
3,160
3,168
3,170
3,171
3,175
3,176
3,182
3,184
3,185
3,191
3,194
3,196
4,9
4,13
4,18
4,23
4,28
4,33
4,42
4,46
4,54
4,56
4,57
4,60
4,66
4,70
4,76
4,87
4,94
4,96
4,98
4,105
4,107
4,109
4,110
4,114
4,116
4,117
4,132
4,136
4,139
4,141
4,142
4,152
4,158
4,170
4,172
4,178
4,180
4,190
4,192
4,196
5,12
5,13
5,15
5,16
5,20
5,21
5,26
5,30
5,45
5,49
5,50
5,52
5,55
5,56
5,58
5,65
5,66
5,67
5,73
5,88
5,90
5,95
5,97
5,104
5,108
5,111
5,112
5,114
5,127
5,130
5,131
5,134
5,136
5,138
5,139
5,149
5,151
5,162
5,163
5,167
5,169
5,175
5,176
5,179
5,180
5,182
5,187
5,190
5,191
5,194
5,196
6,8
6,18
6,21
6,24
6,26
6,28
6,35
6,40
6,50
6,51
6,54
6,56
6,57
6,64
6,66
6,67
6,70
6,73
6,75
6,80
6,84
6,85
6,92
6,96
6,99
6,100
6,103
6,107
6,108
6,120
6,122
6,123
6,125
6,126
6,130
6,137
6,142
6,144
6,148
6,156
6,158
6,160
6,166
6,169
6,173
6,175
6,176
6,177
6,180
6,191
6,194
7,14
7,24
7,25
7,28
7,36
7,46
7,48
7,53
7,54
7,55
7,59
7,60
7,62
7,63
7,68
7,74
7,77
7,78
7,80
7,84
7,85
7,92
7,93
7,95
7,99
7,102
7,104
7,105
7,110
7,111
7,120
7,124
7,126
7,129
7,130
7,131
7,132
7,134
7,138
7,140
7,145
7,146
7,147
7,153
7,156
7,157
7,159
7,161
7,165
7,168
7,171
7,174
7,176
7,178
7,185
7,188
7,191
7,198
7,199
8,13
8,15
8,19
8,20
8,25
8,26
8,28
8,32
8,33
8,46
8,48
8,55
8,58
8,60
8,63
8,74
8,81
8,82
8,84
8,88
8,91
8,92
8,93
8,96
8,102
8,105
8,110
8,111
8,116
8,118
8,122
8,126
8,132
8,138
8,151
8,158
8,161
8,178
8,179
8,183
9,15
9,22
9,24
9,25
9,27
9,33
9,41
9,42
9,44
9,46
9,63
9,67
9,69
9,79
9,80
9,93
9,94
9,99
9,102
9,104
9,110
9,113
9,120
9,125
9,127
9,128
9,129
9,130
9,131
9,133
9,134
9,139
9,143
9,149
9,155
9,160
9,171
9,172
9,179
9,181
9,184
9,187
9,188
9,193
9,195
9,196
9,197
9,199
10,11
10,14
10,19
10,21
10,23
10,26
10,29
10,41
10,58
10,59
10,61
10,64
10,66
10,68
10,72
10,77
10,80
10,81
10,90
10,95
10,106
10,107
10,110
10,111
10,114
10,115
10,128
10,135
10,141
10,146
10,159
10,161
10,163
10,164
10,167
10,169
10,174
10,178
10,188
10,194
11,20
11,27
11,28
11,32
11,33
11,35
11,36
11,37
11,40
11,41
11,42
11,46
11,49
11,50
11,57
11,61
11,63
11,66
11,69
11,77
11,79
11,84
11,89
11,90
11,95
11,103
11,116
11,117
11,118
11,123
11,127
11,128
11,130
11,131
11,136
11,139
11,142
11,143
11,145
11,154
11,155
11,158
11,160
11,165
11,176
11,180
11,183
11,184
11,185
11,189
11,194
11,195
11,198
12,16
12,17
12,23
12,28
12,33
12,37
12,42
12,45
12,50
12,51
12,56
12,63
12,66
12,69
12,74
12,78
12,87
12,92
12,97
12,102
12,113
12,117
12,125
12,130
12,131
12,132
12,135
12,137
12,147
12,148
12,151
12,153
12,155
12,156
12,157
12,166
12,168
12,173
12,176
12,177
12,178
12,179
12,181
12,198
13,15
13,23
13,24
13,29
13,31
13,40
13,46
13,50
13,51
13,53
13,56
13,59
13,70
13,73
13,74
13,83
13,85
13,89
13,91
13,92
13,96
13,99
13,101
13,106
13,111
13,115
13,124
13,126
13,127
